,TFTx,BPP.CNP,CRISP,CTL,GF,KSPI,LAAO,ePLA2,vPLA2,SVMP,SVSP,species
1,4.711898275,0.836613353,1.844310551,1.320361379,-3.188738338,-1.802443977,-2.217288991,-2.718734709,-0.279527835,3.713159821,-2.219609529,Boiga_irregularis
2,1.767050894,-2.368906544,1.628900556,-0.97378913,-2.360083491,-1.954618383,-2.77469638,1.970649849,-0.836935225,4.255178159,1.647249694,Dispholidus_typus
3,-1.840800055,2.814384035,3.632910158,2.639130794,-3.604388648,-2.063943607,-1.908526595,-2.834867663,0.029234561,5.047714153,-1.910847133,Hypsiglena_torquata
4,6.4734931,-0.200571193,-5.204445565,0.093871802,-3.061504626,-2.890699858,-0.606361029,5.166662911,1.331400127,-0.493164103,-0.608681567,Opheodrys_aestivus
5,3.14216968,-0.992631601,3.93062704,-0.698188606,-3.853565034,-3.682760267,-1.398421437,5.699396991,0.539339719,-1.285224511,-1.400741975,Pantherophis_guttatus
6,0.680869133,-1.873030388,-1.015580157,3.165775783,-3.125793357,3.874996788,0.925991591,-3.631113902,-0.767011678,3.185941452,-1.421045265,Phalotris_mertensi
7,-2.465767241,3.752204233,2.984949081,2.401001192,-4.530257466,-4.359452698,-2.075113869,-3.001454936,-0.137352713,4.602049866,2.829194551,Philodryas_olfersii
8,-0.219790179,-0.998155755,2.031501619,3.076046687,-3.859089188,-3.688284421,-1.403945591,-2.330286659,0.533815565,5.825215135,1.032972789,Thamnodynastes_strigatus
9,-1.84369363,2.86291465,-6.051124793,3.148406141,-3.908183854,-3.737379087,-1.453040257,-2.379381325,5.005936924,4.895888274,3.45965696,Agkistrodon_piscivorus
10,-1.279166794,2.434405272,0.592635383,1.205739856,-0.873701686,-4.968046248,0.768526049,-4.040571369,0.470033061,3.66425975,2.025886727,Atropoides_picadoi
11,-0.19997062,2.491272462,0.49317656,0.461427862,-0.082187585,-4.581997255,0.553801182,-4.370455747,0.428638039,3.134463545,1.671831557,Bothriechis_lateralis
12,0.459840968,1.90675995,0.459840968,-2.43053079,0.768142327,-2.941356414,0.342057932,-4.610673616,1.398110606,2.448476061,2.199332008,Bothriechis_schlegelii
13,-3.280997654,2.302303521,0.62266135,2.63756437,0.750494721,-5.174683111,0.421990654,-3.816685349,0.170676226,3.903230744,1.463444529,Bothrops_alternatus
14,-0.26450397,2.666689782,-0.26450397,-0.041360419,-5.274700908,-3.547918316,1.393724106,-3.745898379,2.837838038,3.686739748,2.553894288,Bothrops_asper
15,-3.147121333,1.934205264,-0.719036701,1.542726398,-0.02588952,-5.04080679,0.310582716,-3.682809028,2.655132009,4.09477235,2.078244634,Bothrops_atrox
16,-3.29835145,-0.079791293,0.613355887,1.306503068,0.613355887,-5.192036907,0.613355887,-3.834039145,3.321406088,3.531126619,2.405115357,Bothrops_colombiensis
17,-3.550281975,2.323928106,-0.030616726,2.217160131,1.193158706,-5.443967432,0.816681135,-4.08596967,1.25031712,3.329758661,1.979831944,Bothrops_insularis
18,-3.628473103,0.944291218,-1.418918497,2.111111756,0.562082972,-2.112065678,0.896089116,-4.164160798,0.77830608,3.272429385,2.759307549,Bothrops_jararaca
19,-2.689719593,0.960550836,1.653698016,2.569988748,-4.754209817,-4.58340505,0.960550836,-3.225407288,4.463384995,3.684017481,0.960550836,Bothrops_jararacussu
20,-2.558141966,0.203975456,-0.306850168,1.237347223,-5.05309869,-0.565711802,0.494285651,-3.524296161,2.454713085,4.097512861,3.520264511,Bothrops_moojeni
21,-3.262259611,2.731088364,-0.482056786,2.026380361,-1.14703309,-5.155945068,0.939328895,-3.797947306,3.147982168,3.458137096,1.542324978,Bothrops_neuwiedi
22,-0.742841356,1.884239783,0.723495713,-1.841453645,-0.742841356,-5.280167311,1.47273236,-3.922169549,1.834847027,3.510404489,3.103753844,Cerrophidion_godmani
23,-3.233662139,-0.23950006,0.356061627,3.178768409,-3.691555858,-2.838066028,1.750108698,-3.769349834,2.136110168,3.275698089,3.075386927,Crotalus_adamanteus
24,-1.460170211,-0.663727002,-5.667601374,-0.369284007,3.061664063,-3.353855668,-1.069516838,-1.995857906,6.152706517,2.773981991,2.591660434,Crotalus_durissus
25,-2.924523904,2.734877389,-0.047262351,-1.338833215,1.033995923,-1.921001887,0.308379802,-3.460211599,3.33316161,-1.990595179,4.272013411,Crotalus_horridus
26,2.877878866,2.93153158,-7.218627705,1.21174561,-5.075686766,-1.560843112,1.671277939,-3.546884237,2.829482325,2.20807905,3.672046449,Crotalus_simus
27,-3.531951563,2.748932934,-0.98471912,2.577023658,0.440316069,-4.116063953,-0.330792653,-4.067639258,2.646995805,2.411824344,2.206073736,Crotalus_scutulatus
28,-3.702399327,1.187570643,1.187570643,1.187570643,2.279356967,-5.596084784,0.473804175,-4.238087022,2.09977139,2.431548782,2.689377891,Gloydius_intermedius
29,0.907847062,4.731038854,-6.896310482,2.19570135,-0.766129372,-4.582564776,1.746176252,-3.224567014,1.985405941,2.212795784,1.690606401,Lachesis_muta
30,-1.175412124,-0.378968915,-5.382843287,1.47097706,-2.810883876,-3.069097581,1.544221101,-1.711099819,1.582020877,3.457264989,6.473821578,Ovophis_okinavensis
31,-2.000671932,1.466135931,-5.778091584,-0.479774218,0.618838071,-3.894357389,0.436516514,-2.536359627,5.474766975,3.221527757,3.471469501,Protobothrops_elegans
32,-2.761030638,-1.964587429,0.392588004,0.392588004,-0.060660899,-4.654716095,0.557069643,-3.296718333,3.623027361,4.062777178,3.709663205,Protobothrops_mucrosquamatus
33,-3.236984068,-2.440540859,1.23029844,2.612693147,-0.159635125,-5.130669525,2.086269382,-3.772671763,3.351163767,3.176097381,2.283979223,Protobothrops_flavoviridis
34,-0.613408922,-1.700045019,1.470540516,-0.097775597,1.470540516,-5.462499808,0.856628429,-4.104502046,2.907265731,2.07599461,3.197261589,Sistrurus_catenatus
35,4.357116895,-1.628214682,-0.13483369,-0.13483369,-4.489148115,3.866697572,-2.034004518,4.250596237,-0.096243362,-1.920807592,-2.036325056,Bungarus_flaviceps
36,4.31670512,-2.18857773,-0.209731025,1.481944985,-1.462493994,2.50779792,-2.155641174,3.003414125,-0.656606411,-2.481170641,-2.155641174,Bungarus_multicinctus
37,5.256730754,-1.510391045,1.832002875,-1.21594805,1.138855694,-4.200519711,-1.916180881,-0.624732898,0.021580275,-1.802983955,3.021586942,Drysdalia_coronoides
38,5.737009641,-1.06302262,-6.066896992,1.54038623,-3.923956053,2.613023032,-1.468812456,2.86725717,0.4689487,0.767196341,-1.471132994,Micrurus_altirostris
39,2.939148838,3.313934648,-7.396028331,1.830635478,0.532843919,-1.968592033,-0.245825435,3.557657401,-0.860182639,0.670465296,-2.374057141,Micrurus_corallinus
40,3.572663688,-1.979140389,-6.983014761,0.123013923,0.817411885,1.114734835,0.219574885,4.520979809,-0.44716907,1.42819596,-2.387250763,Micrurus_fulvius
41,4.001344458,-1.816064277,-1.63374272,-0.94059554,0.144030507,1.760485992,-0.521337109,2.638283019,-1.029895192,-0.093297679,-2.509211458,Micrurus_lemniscatus
42,6.225316472,-0.230278625,-5.234152997,0.064164369,-3.091212058,-2.920407291,-0.636068461,5.682206432,1.301692695,-0.522871535,-0.638388999,Micrurus_spixii
43,4.657933654,1.541675543,-6.770314151,-0.519212591,2.623924974,0.627255719,-2.172229615,3.826500864,-0.234468459,-1.406515786,-2.174550153,Micrurus_surinamensis
44,5.45200645,-1.431616243,0.533068821,0.378918141,-1.412841328,-1.412841328,-1.412841328,1.072065322,0.100355076,-0.026546967,-1.839726617,Naja_atra
45,5.489560312,-1.250707564,-6.254581936,0.389693884,-0.12113174,-1.219744029,-0.526596848,3.692910857,0.281263756,1.178151244,-1.658817938,Naja_kaouthia
46,3.198722042,-2.997546012,1.600844951,-2.703103017,-0.785621625,-0.562478074,1.177988101,0.823816287,-1.465574692,2.632105058,-0.919153018,Ophiophagus_hannah
47,2.49703661,-2.423943297,1.480107884,-2.129500302,-0.660998862,0.726401082,-2.829733133,3.065760209,-0.891971977,-2.716536207,3.883377993,Pseudonaja_textilis
48,-3.389434192,0.471004603,-7.596865355,1.902985007,1.164151784,2.080332195,1.610328566,-3.925121887,1.610328566,3.506450701,2.565840011,Bitis_gabonica
49,-3.142809164,-2.346365955,0.636831549,2.845253684,-0.567486023,-1.667823938,0.126522855,-3.678496859,2.095542765,4.145502001,1.553329085,Echis_carinatus
50,-2.963845371,-2.167402163,1.848923678,2.513183596,-0.320314338,-4.857530829,1.551735948,-3.499533067,1.848923678,4.384949292,1.660909576,Echis_coloratus
51,-3.015769278,-2.219326069,-1.11648168,2.493525817,1.079994394,-1.54752363,0.268970576,-3.551456973,2.24988489,4.396064196,0.962117756,Echis_ocellatus
52,-2.188363029,-1.39191982,-6.395794192,4.104447819,0.384650929,-4.082048486,1.896335818,-2.724050724,3.950255491,4.837958766,1.608527427,Echis_pyramidum