species,SVMP,Reg1
Boiga_irregularis,0.688226777,1
Dispholidus_typus,2.821722852,3
Hypsiglena_torquata,2.751484952,3
Opheodrys_aestivus,-0.399213836,7
Pantherophis_guttatus,-0.399284019,5
Phalotris_mertensi,0.852053529,2
Philodryas_olfersii,2.566762637,3
Thamnodynastes_strigatus,2.840055323,3
Agkistrodon_piscivorus,1.739986761,3
Atropoides_picadoi,2.732313956,3
Bothriechis_lateralis,2.505774697,3
Bothriechis_schlegelii,2.350545516,3
Bothrops_alternatus,2.706669156,3
Bothrops_asper,2.485664868,3
Bothrops_atrox,2.760067398,3
Bothrops_colombiensis,2.13114086,3
Bothrops_insularis,2.574411326,3
Bothrops_jararaca,2.712007513,3
Bothrops_jararacussu,0.884429117,4
Bothrops_moojeni,2.795360528,3
Bothrops_neuwiedi,2.055614142,3
Cerrophidion_godmani,2.753080674,3
Crotalus_adamanteus,1.938191918,5
Crotalus_durissus,-0.235324367,5
Crotalus_horridus,-0.508750647,5
Crotalus_simus,0.24612442,4
Crotalus_scutulatus,0.800457806,5
Gloydius_intermedius,1.730054146,4
Lachesis_muta,-0.160843603,4
Ovophis_okinavensis,2.774368128,5
Protobothrops_elegans,-0.028600184,5
Protobothrops_mucrosquamatus,2.347170187,5
Protobothrops_flavoviridis,1.501471811,5
Sistrurus_catenatus,0.716248171,5
Bungarus_flaviceps,-0.612242656,7
Bungarus_multicinctus,-0.483120435,7
Drysdalia_coronoides,-0.334277933,7
Micrurus_altirostris,-0.336945636,7
Micrurus_corallinus,-0.556403047,6
Micrurus_fulvius,-0.331612132,6
Micrurus_lemniscatus,-0.4034999,7
Micrurus_spixii,-0.454790159,7
Micrurus_surinamensis,-0.498780177,7
Naja_atra,-0.314729465,7
Naja_kaouthia,-0.337468929,7
Ophiophagus_hannah,1.105054626,1
Pseudonaja_textilis,-0.563339519,5
Bitis_gabonica,2.722965014,3
Echis_carinatus,2.73286191,3
Echis_coloratus,2.806058383,3
Echis_ocellatus,2.803163813,3
Echis_pyramidum,2.38904884,3