species,vPLA2,Reg1
Boiga_irregularis,-0.463327573,1
Dispholidus_typus,-0.408989879,3
Hypsiglena_torquata,-0.463654083,3
Opheodrys_aestivus,-0.399213836,7
Pantherophis_guttatus,-0.399284019,5
Phalotris_mertensi,-0.612216239,2
Philodryas_olfersii,-0.539435104,3
Thamnodynastes_strigatus,-0.347029762,3
Agkistrodon_piscivorus,2.007079893,3
Atropoides_picadoi,-0.364412135,3
Bothriechis_lateralis,-0.375611762,3
Bothriechis_schlegelii,0.305865064,3
Bothrops_alternatus,-0.445499084,3
Bothrops_asper,0.718516561,3
Bothrops_atrox,0.289149918,3
Bothrops_colombiensis,1.620250928,3
Bothrops_insularis,-0.260215768,3
Bothrops_jararaca,-0.273551879,3
Bothrops_jararacussu,2.559969588,4
Bothrops_moojeni,0.197482907,3
Bothrops_neuwiedi,1.318284305,3
Cerrophidion_godmani,0.086301032,3
Crotalus_adamanteus,0.173260936,5
Crotalus_durissus,2.841994278,5
Crotalus_horridus,2.463355156,5
Crotalus_simus,1.234150763,4
Crotalus_scutulatus,1.232175577,5
Gloydius_intermedius,0.968893752,4
Lachesis_muta,-0.214161925,4
Ovophis_okinavensis,0.030183724,5
Protobothrops_elegans,2.831003753,5
Protobothrops_mucrosquamatus,1.335952395,5
Protobothrops_flavoviridis,1.928659323,5
Sistrurus_catenatus,2.532379278,5
Bungarus_flaviceps,-0.612242656,7
Bungarus_multicinctus,-0.483120435,7
Drysdalia_coronoides,-0.334277933,7
Micrurus_altirostris,-0.359161832,7
Micrurus_corallinus,-0.705954615,6
Micrurus_fulvius,-0.473209269,6
Micrurus_lemniscatus,-0.456943595,7
Micrurus_spixii,-0.454790159,7
Micrurus_surinamensis,-0.505966472,7
Naja_atra,-0.327981232,7
Naja_kaouthia,-0.380235729,7
Ophiophagus_hannah,-0.61894364,1
Pseudonaja_textilis,-0.563339519,5
Bitis_gabonica,-0.128998329,3
Echis_carinatus,-0.05558464,3
Echis_coloratus,-0.19150365,3
Echis_ocellatus,-0.05037806,3
Echis_pyramidum,0.641462714,3